ルール,説明,ルル,エクス
贈り物の際の包装やマナー,日本では贈り物の際の包装や挨拶が重要ですが、親しい間柄では形式にとらわれないことも。,Wrapping and etiquette when giving gifts,"In Japan, wrapping and greetings are important when giving a gift, but when it comes to close relationships, formality may not be the norm."
公共の場での化粧直し,女性が公共の場で化粧直しをすることは控えめに行われるべきですが、化粧室内では一般的です。,Touching up your makeup in public,"While touching up makeup in public should be done sparingly by women, it is common in restrooms."
着席時の足の組み方,正座や椅子に座る際の足の組み方にはマナーがありますが、カジュアルな場所ではルールが緩和されることがあります。,How to cross your legs when seated,"There are etiquette rules regarding how to sit seiza or cross your legs when sitting on a chair, but the rules may be relaxed in casual settings."
エレベーターでの先に乗る・降りる,通常は先に乗っている人が先に降りますが、混雑時などではこのルールが適用されないことも。,Get on or get off first in the elevator,"Normally, the person who gets on first gets off first, but this rule may not apply during busy times."
靴を脱ぐ文化の理解,室内で靴を脱ぐのは日本の文化ですが、特定の外国人向けの施設などではフレキシブルな対応が見られることもあります。,Understanding the culture of taking off shoes,"It is Japanese culture to take off your shoes indoors, but some facilities catering to foreigners may have flexible measures."
電車内での座席占有,荷物を隣の席に置き、他の乗客が座れないようにする行為は、公共の場での礼儀に反します。,Occupying a seat on the train,"It is a violation of public etiquette to place your luggage on the seat next to you, preventing other passengers from sitting."
歩きスマホ,歩きながらスマートフォンを操作することは、周囲への注意散漫や事故の原因となり、非常に危険です。,walking smartphone,Operating a smartphone while walking is extremely dangerous as it can distract from your surroundings and cause accidents.
ゴミのポイ捨て,公共の場所でのゴミのポイ捨ては環境汚染の原因となり、社会的に厳しく非難されます。,littering,Littering in public places causes environmental pollution and is severely condemned by society.
食事中の音を立てる,日本では、食事中に音を立てる（ずるずると麺をすすることを除く）ことは不快とされる場合が多いです。,make noise while eating,"In Japan, making noise while eating (other than slurping noodles) is often considered unpleasant."
非常にカジュアルな服装でのフォーマルな場所への訪問,フォーマルな場所や式典にカジュアルすぎる服装で訪れることは、場の雰囲気や礼儀を乱す行為と見なされます。,Visiting formal locations in very casual attire,Wearing too casual clothing to a formal venue or ceremony is considered an act that disrupts the atmosphere and etiquette.
大声での会話,静かな場所や公共の場での大声での会話は、他人の迷惑になるため避けるべきです。,loud conversation,Loud conversations in quiet places or public places should be avoided as they may disturb others.
列に割り込む,待ち行列に割り込む行為は、公共のマナー違反とされ、他人からの強い不快感を買います。,cut in line,The act of cutting into a queue is considered a violation of public etiquette and causes strong discomfort from others.
他人に対する無礼な態度,目上の人や初対面の人に対する無礼な態度は、社会的信用を失う原因となります。,disrespectful attitude towards others,Being rude to superiors or people you meet for the first time can cause you to lose social trust.
公共施設での大きな声での笑いや騒ぎ,図書館や美術館などの静かな公共施設での騒がしい振る舞いは不適切とされます。,Loud laughter and noise in public facilities,Noisy behavior in quiet public facilities such as libraries and museums is considered inappropriate.
飲食店での食べ残し,多くの食べ残しは食に対する敬意を欠く行為とみなされ、特に日本では避けるべきです。,leftover food at a restaurant,"Leftover food is considered disrespectful to food and should be avoided, especially in Japan."
相手の目を見ずに会話する,日本では直接目を見て会話することが礼儀とされていますが、過度に見つめることは避けるべきです。,Converse without looking the other person in the eye,"In Japan, it is considered polite to make direct eye contact when talking, but excessive staring should be avoided."
手紙やメールでの敬語の誤用,正しい敬語の使用は、特にビジネスの場では非常に重要で、誤用は不適切とされます。,Misuse of honorific language in letters and emails,"Correct use of honorific language is very important, especially in business settings, and misuse is considered inappropriate."
公共の場での化粧,公共の場での化粧はプライベートな行為とされ、特に電車内などでは控えるべきとされます。,makeup in public,"Wearing makeup in public is considered a private act and should be avoided, especially on trains."
お辞儀をしない,挨拶時のお辞儀は日本の文化であり、特にフォーマルな場ではお辞儀を怠ることは不適切とされます。,don't bow,"Bowing when greeting someone is part of Japanese culture, and neglecting to bow is considered inappropriate, especially in formal situations."
エスカレーターで左側を歩かない,特に東京ではエスカレーターの左側を空けて歩行者が通れるようにするのが慣習です。,Don't walk on the left side of the escalator,"Especially in Tokyo, it is customary to leave the left side of the escalator open to allow pedestrians to pass."
お箸のマナー違反,お箸を立てて食べ物に突き刺す行為や、直接食べ物を渡す行為は避けるべきです。,Violation of chopstick etiquette,Avoid sticking your chopsticks into food or handing them food directly.
ご飯を残す,食事を残すことは食べ物に感謝する日本の文化に反し、特に年配の方との食事では避けるべきです。,leave food behind,"Leaving meals out goes against the Japanese culture of being grateful for food and should be avoided, especially when dining with elderly people."
靴を脱がずに室内に入る,室内で靴を脱ぐのは日本の習慣です。玄関で靴を脱がないのは非常に不適切とされます。,Enter the room without taking off your shoes,It is a Japanese custom to take off your shoes indoors. It is considered extremely inappropriate not to take off your shoes at the entrance.
公共の場での喫煙,日本では多くの公共の場所で喫煙が禁止されており、喫煙所以外での喫煙は避けるべきです。,smoking in public places,"Smoking is prohibited in many public places in Japan, and smoking outside of smoking areas should be avoided."
バスや電車内での優先席の占有,優先席は高齢者や妊娠中の女性、障害を持つ方のためのもので、必要ない人が占有するのは不適切です。,Occupying priority seats on buses and trains,"Priority seats are reserved for the elderly, pregnant women, and people with disabilities, and it is inappropriate for people who do not need them to occupy them."
他人の家での大声,日本の家庭では静かな環境を好むため、他人の家での大声は避けるべきです。,Loud voices in someone else's house,"Japanese families prefer a quiet environment, so loud voices should be avoided in other people's homes."
飲食店での席を足で蹴る,飲食店での席やテーブルを足で蹴るなどの行為は、他の客への配慮に欠ける行動です。,Kick a seat at a restaurant with your foot,Acts such as kicking a seat or table at a restaurant are actions that lack consideration for other customers.
公衆浴場でのマナー違反,公衆浴場や温泉では、体を洗う前に浴槽に入るなどのマナー違反は他の利用者に不快感を与えます。,Violation of manners in public baths,"At public baths and hot springs, violating etiquette such as entering the bathtub before washing your body can make other users uncomfortable."
交差点での信号無視,歩行者や自転車による信号無視は交通の安全を脅かし、非常に不適切な行動とされます。,Ignoring traffic lights at intersections,Ignoring traffic lights by pedestrians and cyclists threatens traffic safety and is considered extremely inappropriate behavior.
受話器を持たない電話応対,ビジネスシーンでのスピーカーフォンの使用は、周囲への配慮が欠けていると見なされることがあります。,Answering the phone without a handset,Using a speakerphone in a business setting may be seen as a lack of consideration for those around you.
寺院や神社での不敬な振る舞い,寺院や神社での大声や不適切な撮影は、その場所の尊厳を損ねる行為です。,Disrespectful behavior at temples and shrines,Loud voices and inappropriate photography at temples and shrines undermine the dignity of the place.
エレベーター内での先降り,エレベーター内で入口に近い場所にいる人が先に降りるのは、一般的なマナー違反とされます。,Get off first in the elevator,It is generally considered bad etiquette for people who are close to the entrance to get off the elevator first.
会話中のスマートフォンの使用,他人との会話中にスマートフォンを使用することは、相手に対する尊敬がないと捉えられることがあります。,Use of smartphone during conversation,Using a smartphone during a conversation with another person can be seen as a lack of respect for the other person.
ゴミの分別をしない,日本ではゴミの分別が厳格に行われており、ルールを守らないことは地域社会に対する配慮に欠ける行為です。,Not separating garbage,"Garbage separation is strictly enforced in Japan, and not following the rules is an act that lacks consideration for the local community."
公共交通機関での化粧,電車内など公共交通機関での化粧は、他の乗客への配慮を欠く行為と見なされます。,Makeup on public transport,Wearing makeup on public transportation such as on trains is considered disrespectful to other passengers.
会食時の食事の取り分け方,直接手や自分の箸で食事を他人の皿に取り分けるのは不衛生と見なされ、不適切です。専用の取り分け用箸やスプーンを使用しましょう。,How to share food at a dinner party,It is considered unsanitary and inappropriate to share food directly with your hands or with your own chopsticks on someone else's plate. Use special serving chopsticks or spoons.
電話応対時のあいさつの怠り,ビジネスでもプライベートでも、電話に出る際や切る前の丁寧なあいさつは必須です。怠ると礼儀知らずと見なされます。,Failure to greet people when answering the phone,"Whether it's business or private, it's essential to greet someone politely when answering the phone and before hanging up. Failure to do so will be considered disrespectful."
乗り物での前の席へのもたれかかり,バスや電車で前の席にもたれかかる行為は、他の乗客の迷惑になり得ます。特に混雑時は注意が必要です。,Leaning back on the seat in front of you in a vehicle,Leaning back on the seat in front of you on a bus or train can be a nuisance to other passengers. Please be careful especially when it is crowded.
病院での大声や騒ぎ,病院内での大声や騒ぎは、他の患者さんへの配慮が欠けているとみなされ、非常に不適切です。,Loud voices and noise at the hospital,Loud voices and noise in a hospital are considered to be disrespectful to other patients and are highly inappropriate.
挨拶の無視,日本では挨拶がコミュニケーションの基本とされており、挨拶を無視することは非常に失礼な行為とされています。,Ignoring greetings,"Greetings are considered the basis of communication in Japan, and ignoring a greeting is considered extremely rude."
待ち合わせ時の無断の遅刻,時間にルーズな行動は他人への配慮が欠けていると見なされ、特にビジネスシーンでは信頼を失う原因になります。,Unauthorized tardiness at a meeting,"Being lax with your time can be seen as a lack of consideration for others, which can lead to a loss of trust, especially in business settings."
空港や駅での荷物の放置,セキュリティ上の理由から、空港や駅などの公共の場での荷物の放置は厳しく禁止されています。,Leaving luggage at the airport or station,"For security reasons, leaving luggage unattended in public places such as airports and train stations is strictly prohibited."
接客業への無礼な態度,接客業に従事する人への無礼な態度は、日本のサービス業の精神に反し、他の顧客からも不快に思われる行為です。,Rude attitude toward customer service,"Being rude to people working in the customer service industry goes against the spirit of the Japanese service industry, and is an act that makes other customers uncomfortable."
エスカレーターでの立ち止まり,特に大都市部では、エスカレーターで片側を空けて歩く人のために通路を確保するのが一般的です。立ち止まる場合はルールを守りましょう。,stopping on the escalator,"Particularly in large cities, it is common practice to leave one side of the escalator open to make way for people walking. If you have to stop, please follow the rules."
ホテルの備品の持ち帰り,アメニティなどの消耗品以外のホテルの備品を持ち帰る行為は、盗難と見なされることがあります。,Bringing back hotel supplies,"Taking away hotel supplies other than consumables, such as toiletries, may be considered theft."
お寺や神社での騒がしい行動,宗教的な場所での騒がしい行動や大声は、その場の雰囲気や尊厳を損ね、非常に不適切です。,Noisy behavior at temples and shrines,Noisy behavior and loud voices in religious places detract from the atmosphere and dignity of the place and are highly inappropriate.
自転車の歩道での無配慮な運転,歩行者が多い歩道での無配慮な自転車運転は、危険を及ぼし、非常識な行為とされます。,Inconsiderate bicycle riding on the sidewalk,Riding a bicycle carelessly on a sidewalk where there are many pedestrians is dangerous and considered an unethical act.
料理を残す,日本では食べ物に感謝する文化があるため、食事を残すことはマナー違反とされることが多いです。,leave food,"In Japan, there is a culture of gratitude for food, so it is often considered bad manners to leave food behind."
病院や図書館での携帯電話使用,静かな場所での携帯電話の使用は、他人の迷惑になるため不適切とされます。,Mobile phone use in hospitals and libraries,Using a cell phone in a quiet area is considered inappropriate as it may disturb others.
ホテルの共用スペースでの騒音,ホテルの廊下やロビーでの大声や騒ぎは、他の宿泊客の迷惑になります。,Noise in hotel common spaces,Loud voices and noise in the hotel hallways and lobby may be a nuisance to other guests.
列車やバス内での足を席に乗せる,公共交通機関内での足を席に乗せる行為は、他の乗客への配慮に欠けるとされます。,Put your feet on the seat on a train or bus,The act of resting your feet on the seat on public transportation is considered disrespectful to other passengers.
喫煙所以外での喫煙,日本では公共の場所での喫煙は制限されており、指定された喫煙所以外での喫煙は避けるべきです。,Smoking outside smoking areas,"Smoking in public places is restricted in Japan, and smoking outside of designated smoking areas should be avoided."
ゴミの不適切な分別,日本ではゴミの分別が徹底されており、ルールに従わないと地域社会の迷惑になります。,Improper separation of garbage,"In Japan, garbage is strictly separated, and if you don't follow the rules, you will be a nuisance to the local community."
早朝や夜間の騒音,住宅地での早朝や夜間の大きな騒音は、近隣住民への配慮を欠く行為とされます。,Noise early in the morning and at night,Loud noise early in the morning or at night in a residential area is considered disrespectful to neighboring residents.
図書館内での飲食,図書館では静かな環境が求められるため、飲食は特に注意が必要な行為です。,Eating and drinking inside the library,"Libraries require a quiet environment, so you need to be especially careful when eating and drinking."
お店の商品を無断で写真撮影する,特に個人経営のお店や伝統工芸品の店舗では、商品の写真撮影が好ましくないとされる場合があります。,Taking photos of store products without permission,"Especially in privately run shops and traditional craft stores, it may be considered inappropriate to take photos of products."
自転車の歩道での無配慮な運転,歩行者のいる歩道でのスピード出し過ぎや、ベルを鳴らさずに追い越す行為は、危険かつ不適切です。,Inconsiderate bicycle riding on the sidewalk,Excessive speed on a pedestrian sidewalk or passing someone without ringing the bell is dangerous and inappropriate.
お寺や神社での大声での会話や笑い,神聖な場所での軽率な振る舞いは、他の参拝者の迷惑になるだけでなく、場所の尊厳を損ねます。,Loud conversations and laughter at temples and shrines,"Careless behavior in sacred places not only disturbs other worshipers, but also damages the dignity of the place."
マナーを守らないペットの散歩,ペットのフンの後始末をしない、リードをつけないで散歩させるなどの行為は、公共の場でのマナー違反です。,Walking your pet without proper manners,Acts such as not cleaning up after your pet's feces or walking your pet without a leash are bad manners in public places.
電車やバスでの化粧,移動中の公共交通機関内での化粧は、周りの乗客に不快感を与える可能性があります。,Makeup on the train or bus,Wearing makeup while traveling on public transport can cause discomfort to other passengers.
エスカレーターでの立ち止まり,特に大都市部ではエスカレーターの片側を空けておく習慣があり、空けていない側に立ち止まるのは流れを妨げます。,stopping on the escalator,"Particularly in large cities, it is customary to leave one side of the escalator open, and standing on the unoccupied side will disrupt the flow."
取引先や他社との会議での遅刻,日本のビジネスシーンでは時間厳守が基本であり、遅刻は非常に不適切とされることが多いです。,Being late for meetings with business partners or other companies,"Punctuality is fundamental in the Japanese business scene, and being late is often considered extremely inappropriate."
ご飯やお酒を断らずに過剰に摂取する,社交的な場での断り方を知らないと、健康やマナーを害することにつながることがあります。,Consuming excessive amounts of food or alcohol without refusing food or alcohol,Not knowing how to say no in social situations can lead to harm to your health and manners.
無断で他人の写真を撮る,人混みの中や観光地で無断で他人の写真を撮ることは、プライバシーの侵害に当たります。,Taking photos of others without permission,Taking photos of other people without their permission in a crowd or at a tourist spot is a violation of their privacy.
公共施設や列車内での足を広げて座る,マナースプレッドとも呼ばれるこの行為は、限られたスペースを占有し、他の人に不快感を与えます。,Sitting with your legs spread apart in public facilities and on trains,"This behavior, also called manner spreading, takes up limited space and makes others uncomfortable."
電車内での座席への足の乗せ,電車内で座席に足を乗せる行為は、共有スペースへの配慮を欠くと見なされます。,Putting your feet on the seat on the train,Placing one's feet on a seat on a train is considered disrespectful of shared spaces.
会話中の携帯電話使用,他人と会話している最中に携帯電話をいじる行為は、相手への敬意を欠くとされています。,Mobile phone use during conversation,It is considered disrespectful to use your cell phone while talking to someone else.
公共の場での声の大きな通話,電車内やレストランなどでの大声での通話は、周囲の迷惑となるため不適切です。,Loud calls in public places,"It is inappropriate to make loud calls on trains or in restaurants, as it may disturb those around you."
ゴミの不適切な分別,日本ではゴミの分別が厳格に行われており、ルールを守らないと地域社会への配慮を欠くことになります。,Improper separation of garbage,"Garbage separation is strictly enforced in Japan, and failure to follow the rules means a lack of consideration for the local community."
歩道での自転車の無配慮な運転,歩行者が多い歩道でのスピード違反や無配慮な運転は、危険を伴うため避けるべきです。,Riding a bicycle carelessly on the sidewalk,Speeding and careless driving on sidewalks where there are many pedestrians are dangerous and should be avoided.
温泉や公衆浴場でのルール無視,洗い場でのシャワーの使い方や浴槽への入り方など、温泉や公衆浴場独特のマナーを守らない行為は不適切です。,Ignoring rules at hot springs and public baths,"It is inappropriate to behave in a manner that does not adhere to the manners unique to hot springs and public baths, such as how to use the shower in the washing area or how to enter the bathtub."
食事中の携帯電話での写真撮影,一部の食事シーンでは許容されることもありますが、過度な撮影は他の客の迷惑となり得ます。,Taking photos with a mobile phone while eating,"Although it may be acceptable for some dining scenes, excessive photography may be a nuisance to other guests."
混雑した場所での立ち止まり,観光地や商業施設など混雑する場所で急に立ち止まると、人の流れを妨げるため不適切です。,Stopping in a crowded place,"It is inappropriate to stop suddenly in crowded places such as tourist spots or commercial facilities, as it will impede the flow of people."
ホテルの共用スペースでの騒音,ホテルのロビーや廊下などでの騒がしい振る舞いは、他の宿泊客への配慮を欠く行為です。,Noise in hotel common spaces,Noisy behavior in hotel lobbies and hallways is disrespectful to other guests.
飲食店での予約無視,予約したにも関わらず、無断でキャンセルや大幅な遅刻をする行為は、店側への敬意を欠くとされます。,Ignoring reservations at restaurants,"Even though you have made a reservation, canceling without permission or being significantly late is considered disrespectful to the restaurant."
食事時に席を立つ,食事中に無断で席を立つ行為は、他の食事参加者への配慮を欠くと見なされます。,stand up from one's seat at mealtime,Leaving your seat without permission during a meal is considered disrespectful to other diners.
交通機関での化粧,公共交通機関内での化粧は周りの乗客に不快感を与え、また衛生上も好ましくないとされています。,Makeup on transportation,Wearing makeup on public transportation makes other passengers uncomfortable and is considered unhygienic.
エレベーターでの前方立ち,エレベーター内で入口付近に立ち続け、他の人の乗降を妨げる行動は不適切とされます。,standing in front of the elevator,It is considered inappropriate to stand near the entrance of an elevator and prevent other people from getting on or off the elevator.
ATMやチケット機での長時間占有,長時間ATMやチケット機を占有する行為は、後ろに並ぶ人への配慮を欠きます。,Occupying ATMs and ticket machines for long periods of time,Occupying an ATM or ticket machine for a long time shows a lack of consideration for the people standing behind you.
話し相手の口を遮る,会話中に相手の話を遮って自分の意見を言うことは、礼儀に反する行為とされています。,interrupt someone's mouth,It is considered impolite to interrupt the other person during a conversation and express your own opinion.
タクシーでの後部座席のドアを自分で開ける,日本のタクシーではドアが自動で開くため、自分でドアを開けると運転手を驚かせる可能性があります。,Open the backseat door yourself in a taxi,"In Japanese taxis, the doors open automatically, so if you open the door yourself, you may surprise the driver."
病院での大声,病院内での大声は、他の患者への配慮を欠く行為とされ、静かな環境が求められます。,Loud voices at the hospital,"Loud voices in the hospital are considered disrespectful to other patients, and a quiet environment is required."
信号待ちでの横断歩道上の立ち止まり,信号待ちで横断歩道上に立ち止まると、対向車の進行を妨げる可能性があります。,Stopping at a crosswalk at a traffic light,"If you stop at a crosswalk while waiting for a traffic light, you may block the progress of oncoming traffic."
ゴルフ場での声の大きな会話や笑い声,ゴルフ場では静かにすることがマナーとされており、大声は他のプレイヤーの迷惑になります。,Loud conversations and laughter on the golf course,"It is considered good etiquette to be quiet on the golf course, and loud voices will disturb other players."
ビジネスシーンでの適切な敬語の使用を怠る,ビジネスの場では適切な敬語の使用が求められ、これを怠ると失礼と捉えられることがあります。,Neglecting to use appropriate honorific language in business situations,"Appropriate use of honorific language is required in business settings, and failure to do so may be considered rude."
オフィスでの私物の過剰な展示,個人的な装飾や私物を職場のデスクに過剰に展示することは、プロフェッショナルな環境を損ねると見なされることがあります。,Excessive display of personal items in the office,Excessive display of personal decorations and personal items on your work desk may be seen as detracting from the professional environment.
ホテルのバッフェでの食べ過ぎ,バッフェ形式の食事での過剰な食事は、無駄遣いや食べ物の価値を軽視していると見なされることがあります。,Overeating at the hotel buffet,Overeating at a buffet meal can be seen as wasting money or disrespecting the value of the food.
列車やバスの中での化粧の塗り直し,公共交通機関内での化粧は他の乗客に不快感を与えるため、避けるべき行動です。,Reapplying makeup on the train or bus,Make-up on public transport is a behavior that should be avoided as it may cause discomfort to other passengers.
スポーツジムでのマシンの占有,長時間にわたって同じ運動器具を独占する行為は、他の利用者の機会を奪うとされます。,Occupying machines at the gym,The act of monopolizing the same exercise equipment for a long period of time is considered to deprive other users of the opportunity.
無断で隣人の駐車スペースを使用する,駐車スペースを無断で使用することは、隣人とのトラブルの原因となり得ます。,Using your neighbor's parking space without permission,Using a parking space without permission can cause trouble with your neighbors.
電話に出ないでメッセージのみで対応する,特にビジネスの場面では、電話に出ずにメッセージのみで対応することは不適切とされることがあります。,"Don't answer the phone, just send a message","Especially in business situations, it may be considered inappropriate to respond only by texting instead of answering the phone."
言葉遣いにおけるタメ口,相手との関係性にもよりますが、親しき中にも礼儀ありで、敬語を使うべき場面でタメ口を使うのは不適切です。,slang in language,"It depends on your relationship with the other person, but it is inappropriate to use polite language in situations where you should be polite and use polite language."
お土産を配る際の差別,職場などでお土産を一部の人にしか配らない行為は、不公平感を生み出し、人間関係に亀裂を入れる可能性があります。,Discrimination when distributing souvenirs,Distributing souvenirs to only a few people at work can create a sense of unfairness and cause a rift in interpersonal relationships.
待合室での足の投げ出し,待合室などでの大きく足を投げ出して座る姿勢は、他の人への配慮に欠けると見なされます。,Throwing your feet up in the waiting room,Sitting in a waiting room with your legs thrown out is considered disrespectful to others.
会議中の不注意な態度,会議中にスマートフォンをいじったり、他のことに注意を払う行為は、参加者への敬意を欠くとされます。,Careless attitude during meetings,Playing with your smartphone or paying attention to other things during a meeting is considered disrespectful to the participants.
レジでの並び方無視,スーパーやコンビニなどでの列の順番を無視して割り込む行為は、他のお客様に対する配慮が欠けるとされます。,Ignoring how to line up at the cash register,Ignoring the order of the line at a supermarket or convenience store and cutting in on someone else is considered disrespectful to other customers.
車内での弁当食べ,新幹線を除く一般車両内での弁当や飲食物の摂取は、他の乗客に不快感を与えるため避けるべきです。,Eating bento in the car,"You should avoid eating boxed lunches or eating food or drinks in general trains, excluding Shinkansen trains, as this may cause discomfort to other passengers."
自宅マンションの共用部分での騒音,深夜や早朝の時間帯に共用部分で騒ぐ行為は、他の住民への配慮に欠けます。,Noise in common areas of my condominium,Making noise in common areas late at night or early in the morning shows a lack of consideration for other residents.
エレベーター内での優先順位無視,優先座席やエレベーターでの高齢者、妊娠中の方、障害を持つ方への配慮が欠けた行動です。,Ignoring priorities in the elevator,"This behavior shows a lack of consideration for the elderly, pregnant women, and people with disabilities in priority seats and elevators."
外出時の室内用スリッパの使用,訪問先で外出用の靴のまま室内に入る、または室内用スリッパを外に履いて出る行為は不適切です。,Using indoor slippers when going out,"When visiting a destination, it is inappropriate to enter the room wearing shoes worn outside or wearing indoor slippers outside."
食事中の箸の不適切な使用,直箸（他人に渡す際に使った箸で直接食べ物を取る）や箸を立てる行為は、食事マナーに反します。,Improper use of chopsticks while eating,It is against good dining etiquette to use chopsticks (taking food directly with the same chopsticks you used to hand it to someone else) or to hold your chopsticks upright.
会話中の長時間の目配せ無視,会話中、相手の目を見ずにスマートフォン等に気を取られ続けることは、非礼とされます。,Ignoring eye contact for a long time during a conversation,It is considered impolite to remain distracted by your smartphone or other device during a conversation without looking into the other person's eyes.
書籍や雑誌の立ち読み,店舗での長時間の立ち読みは、商品の扱いとして適切ではなく、他の顧客の迷惑になることも。,Browse books and magazines,Browsing for long periods of time in a store is not appropriate for handling products and may be a nuisance to other customers.
公共の場での爪切り,公共の場での爪切りは個人の衛生行為として、他人に不快感を与える行為とされます。,Nail clipping in public places,"Cutting your nails in public is considered an act of personal hygiene, but it is considered an act that may cause discomfort to others."
ゴルフ場などでの先行者へのプレッシャー,ゴルフ場でのプレイ中、先行するプレイヤーへ急かすような振る舞いは、マナー違反とされています。,"Pressure on first movers at golf courses, etc.","While playing on the golf course, it is considered bad manners to rush the players ahead of you."